Computername,InstalledCount,InstalledPendingReboot,ApprovedNotInstalled,ApprovedDownloaded
transgate1.trumark.org,28,0,0,0
filesvr1.trumark.org,0,0,0,0
vmmgmt2.trumark.org,41,0,0,0
dc3.trumark.org,,0,0,0
prod-akce-02.trumark.org,5,0,0,0
ts2.trumark.org,5,0,0,0
symform1.trumark.org,12,0,0,0
prod-sftp-01.trumark.org,5,0,0,0
mail1.trumark.org,4,0,7,22
geutebr-3ko3enk.trumark.org,32,0,0,0
wsus3.trumark.org,16,0,0,0
wsustest2012.trumark.org,0,0,0,0
wsus1.trumark.org,15,0,0,0
wsus2.trumark.org,15,0,0,0
print1.trumark.org,18,0,0,0
centrix1test.trumark.org,27,0,0,0
devicelock1.trumark.org,16,0,0,0
dc1.trumark.org,3,0,0,0
dc4.trumark.org,,0,0,0
cardwiz1.trumark.org,27,0,0,0
dc2.trumark.org,3,0,0,0
centrix1.trumark.org,27,0,0,0
itops1test.trumark.org,3,0,0,0
onbase1test.trumark.org,0,0,0,0
netwrix1.trumark.org,27,0,0,0
arcu1.trumark.org,2,0,0,0
db1.trumark.org,45,0,0,0
raddon1.trumark.org,27,0,0,0
profitstar1.trumark.org,27,0,0,0
db2.trumark.org,14,0,0,0
db4.trumark.org,,0,0,0
veeam1.trumark.org,2,0,0,0
pwd1.trumark.org,26,0,0,
helpstar1.trumark.org,27,0,0,0
prod-filesvr-01.trumark.org,2,0,0,0
monitor1.trumark.org,27,0,0,0
laserpro1.trumark.org,16,0,0,0
onbase1.trumark.org,27,0,0,0
db3.trumark.org,0,0,,4
webint1.trumark.org,27,0,0,0
dev-db-08.trumark.org,,0,0,0
portal1.trumark.org,27,0,0,0
prod-dmart-01.trumark.org,5,0,0,0
itops1.trumark.org,2,0,0,
wsustest2016.trumark.org,0,0,0,0
laserpro1test.trumark.org,15,0,0,0
prod-db-08.trumark.org,8,0,0,0
cfm1.trumark.org,15,0,0,0
dr-witness-01.trumark.org,7,0,0,2
hr1.trumark.org,27,0,0,0
db6.trumark.org,,0,,3
prod-filesvr-03.trumark.org,5,0,0,0
db5.trumark.org,4,0,0,0
netflow1.trumark.org,27,0,0,0
imgctr1.trumark.org,15,0,0,0
prod-mortsvc-02.trumark.org,11,0,0,0
opcon1.trumark.org,2,0,0,
prowatch1.trumark.org,27,0,0,0
quest1.trumark.org,27,0,0,0
prod-ic-01.trumark.org,6,0,0,0
sav2.trumark.org,15,0,0,0
akcetrain1.trumark.org,5,0,0,0
prod-witness-01.trumark.org,8,0,0,
quest1test.trumark.org,27,0,0,0
devdb1.trumark.org,27,0,0,0
dev-akce-02.trumark.org,,0,0,0
winkms1.trumark.org,13,0,0,3
prod-source-01.trumark.org,5,0,0,0
abra1.trumark.org,5,0,0,0
gns3svr1.trumark.org,15,0,0,0
ts1.trumark.org,5,0,0,0
appsvr1.trumark.org,27,0,0,0
sca1.trumark.org,16,0,0,0
prod-aviso.trumark.org,5,0,0,0
vmmgmt1.trumark.org,2,0,0,0
imgctr1test.trumark.org,27,0,0,0
raddon2.trumark.org,27,0,0,0
velocity1.trumark.org,5,0,0,0
dev-mortsvc-02.trumark.org,5,0,0,0
hrms1.trumark.org,27,0,0,0
ts3.trumark.org,6,0,0,0
spdb-uat.trumark.org,15,0,0,0
tslic1.trumark.org,5,0,0,0
spdb1.trumark.org,14,0,0,0
spapp-uat.trumark.org,27,0,0,0
mail2.trumark.org,26,0,0,0
mdt1.trumark.org,0,0,0,0
spowa2.trumark.org,28,0,0,0
spsearch1.trumark.org,27,0,0,0
spweb1.trumark.org,27,0,0,0
spowa-uat.trumark.org,29,0,0,0
spweb2.trumark.org,27,0,0,0
spcache2.trumark.org,27,0,0,0
spcache1.trumark.org,27,0,0,0
spapp1.trumark.org,27,0,0,0
spdev1.trumark.org,28,0,0,0
spowa1.trumark.org,28,0,0,0
Computername,InstalledCount,InstalledPendingReboot,ApprovedNotInstalled,ApprovedDownloaded
transgate1.trumark.org,28,0,0,0
filesvr1.trumark.org,0,0,0,0
vmmgmt2.trumark.org,41,0,0,0
dc3.trumark.org,,0,0,0
prod-akce-02.trumark.org,5,0,0,0
ts2.trumark.org,5,0,0,0
symform1.trumark.org,12,0,0,0
prod-sftp-01.trumark.org,5,0,0,0
mail1.trumark.org,4,0,7,22
geutebr-3ko3enk.trumark.org,32,0,0,0
wsus3.trumark.org,16,0,0,0
wsustest2012.trumark.org,0,0,0,0
wsus1.trumark.org,15,0,0,0
wsus2.trumark.org,15,0,0,0
print1.trumark.org,18,0,0,0
centrix1test.trumark.org,27,0,0,0
devicelock1.trumark.org,16,0,0,0
dc1.trumark.org,3,0,0,0
dc4.trumark.org,,0,0,0
cardwiz1.trumark.org,27,0,0,0
dc2.trumark.org,3,0,0,0
centrix1.trumark.org,27,0,0,0
itops1test.trumark.org,3,0,0,0
onbase1test.trumark.org,0,0,0,0
netwrix1.trumark.org,27,0,0,0
arcu1.trumark.org,2,0,0,0
db1.trumark.org,45,0,0,0
raddon1.trumark.org,27,0,0,0
