"Computername","UpdateKB","UpdateTitle"
"wsus3.trumark.org","2966826","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2966826)"
"wsus3.trumark.org","2894852","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2894852)"
"wsus3.trumark.org","2966828","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2966828)"
"wsus3.trumark.org","2968296","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2968296)"
"wsus3.trumark.org","2972103","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2972103)"
"wsus3.trumark.org","2979573","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2979573)"
"wsus3.trumark.org","3037576","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3037576)"
"wsus3.trumark.org","3023219","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3023219)"
"wsus3.trumark.org","3048072","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3048072)"
"wsus3.trumark.org","3072307","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3072307)"
"wsus3.trumark.org","3074545","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3074545)"
"wsus3.trumark.org","3097992","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3097992)"
"wsus3.trumark.org","3127222","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3127222)"
"wsus3.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"wsus3.trumark.org","4019114","May- 2017 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB4019114)"
"wsus3.trumark.org","4041085","2017-09 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7 on Windows 8.1 and Server 2012 R2 for x64 (KB4041085)"
"wsus3.trumark.org","4493446","2019-04 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4493446)"
