"Computername","UpdateKB","UpdateTitle"
"db1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"db1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"db1.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"db1.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"prod-filesvr-01.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"prod-filesvr-01.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"prod-filesvr-03.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"prod-filesvr-03.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"prod-filesvr-03.trumark.org","4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"prod-filesvr-03.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"prod-filesvr-03.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"db5.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"db5.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"db5.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"db5.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
