"UpdateKB","UpdateTitle"
"2862152","Security Update for Windows Server 2008 R2 x64 Edition (KB2862152)"
"3029944","Security Update for Windows Server 2008 R2 x64 Edition (KB3029944)"
"3035132","Security Update for Windows Server 2008 R2 x64 Edition (KB3035132)"
"3109094","Security Update for Windows Server 2008 R2 x64 Edition (KB3109094)"
"3156019","Security Update for Windows Server 2008 R2 x64 Edition (KB3156019)"
"4048960","2017-11 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4048960)"
"4054521","2017-12 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4054521)"
"4056897","2018-01 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4056897)"
"4074587","2018-02 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4074587)"
"4093108","2018-04 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4093108)"
"4103712","2018-05 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4103712)"
"4284867","2018-06 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4284867)"
"4338823","2018-07 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4338823)"
"4343899","2018-08 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4343899)"
"4457145","2018-09 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4457145)"
"4462915","2018-10 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4462915)"
"3177467","2018-10 Update for Windows Server 2008 R2 for x64-based Systems (KB3177467)"
"4467106","2018-11 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4467106)"
"4471328","2018-12 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4471328)"
"4480965","2019-01 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4480965)"
"4480960","2019-01 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4480960)"
"4486564","2019-02 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4486564)"
"4486474","2019-02 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4486474)"
"4489885","2019-03 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4489885)"
"4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4489873)"
"4474419","2019-03 Security Update for Windows Server 2008 R2 for x64-based Systems (KB4474419)"
"4490628","2019-03 Servicing Stack Update for Windows Server 2008 R2 for x64-based Systems (KB4490628)"
"4493448","2019-04 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4493448)"
"4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4493435)"
"3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"3161949","Security Update for Windows Server 2008 R2 x64 Edition (KB3161949)"
"3138615","Update for Windows Server 2012 R2 (KB3138615)"
