"Computername","UpdateKB","UpdateTitle"
"transgate1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"vmmgmt2.trumark.org","2931358","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2931358)"
"vmmgmt2.trumark.org","2966826","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2966826)"
"vmmgmt2.trumark.org","2973114","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2973114)"
"vmmgmt2.trumark.org","2972213","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2972213)"
"vmmgmt2.trumark.org","2894852","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2894852)"
"vmmgmt2.trumark.org","2966828","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2966828)"
"vmmgmt2.trumark.org","2968296","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2968296)"
"vmmgmt2.trumark.org","2972103","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2972103)"
"vmmgmt2.trumark.org","2979573","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2979573)"
"vmmgmt2.trumark.org","2978122","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2978122)"
"vmmgmt2.trumark.org","3000483","Security Update for Windows Server 2012 R2 (KB3000483)"
"vmmgmt2.trumark.org","3037576","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3037576)"
"vmmgmt2.trumark.org","3023219","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3023219)"
"vmmgmt2.trumark.org","3048072","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3048072)"
"vmmgmt2.trumark.org","3035487","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3035487)"
"vmmgmt2.trumark.org","3072307","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3072307)"
"vmmgmt2.trumark.org","3074545","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3074545)"
"vmmgmt2.trumark.org","3097992","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3097992)"
"vmmgmt2.trumark.org","3099864","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3099864)"
"vmmgmt2.trumark.org","3127222","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3127222)"
"vmmgmt2.trumark.org","3122651","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3122651)"
"vmmgmt2.trumark.org","3135985","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3135985)"
"vmmgmt2.trumark.org","3135991","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3135991)"
"vmmgmt2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"vmmgmt2.trumark.org","3148198","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB3148198)"
"vmmgmt2.trumark.org","3142045","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3142045)"
"vmmgmt2.trumark.org","3154070","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB3154070)"
"vmmgmt2.trumark.org","3142026","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3142026)"
"vmmgmt2.trumark.org","3160005","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB3160005)"
"vmmgmt2.trumark.org","3170106","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB3170106)"
"vmmgmt2.trumark.org","3163247","Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3163247)"
"vmmgmt2.trumark.org","3175443","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB3175443)"
"vmmgmt2.trumark.org","3185319","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB3185319)"
"vmmgmt2.trumark.org","3188732","October- 2016 Security Only Update for .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3188732)"
"vmmgmt2.trumark.org","3188743","October- 2016 Security and Quality Rollup for .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3188743)"
"vmmgmt2.trumark.org","4014983","April- 2017 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB4014983)"
"vmmgmt2.trumark.org","4014987","April- 2017 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB4014987)"
"vmmgmt2.trumark.org","4019114","May- 2017 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB4019114)"
"vmmgmt2.trumark.org","4019111","May- 2017 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB4019111)"
"vmmgmt2.trumark.org","3205404","December- 2016 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2 on Windows 8.1 and Windows Server 2012 R2 for x64 (KB3205404)"
"vmmgmt2.trumark.org","4041092","2017-09 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7 on Windows 8.1 and Server 2012 R2 for x64 (KB4041092)"
